price,carat,cut,color,clarity,table,length,width,depth
776,0.3,Good,H,VVS2,55,4.27,4.24,2.71
666,0.33,Premium,G,VS1,58,4.42,4.45,2.72
4386,0.91,Ideal,H,SI1,56,6.17,6.21,3.83
3734,1.51,Fair,F,I1,56,7.17,7.05,4.8
12618,2.03,Ideal,G,SI1,56,8.04,7.99,5.05
807,0.29,Premium,E,VVS1,61,4.27,4.23,2.59
6915,1.02,Very Good,E,VS2,59,6.54,6.59,3.94
968,0.38,Ideal,E,VS2,54,4.67,4.69,2.88
4276,1,Good,H,SI1,56,6.24,6.31,4.07
1662,0.54,Very Good,D,SI1,55,5.21,5.24,3.24
1076,0.41,Ideal,G,VVS2,56,4.8,4.75,2.97
1294,0.32,Premium,F,VVS1,58,4.43,4.4,2.68
5951,1.05,Premium,E,SI1,59,6.5,6.43,4.04
6863,1.06,Very Good,G,VS1,56,6.47,6.51,4.09
895,0.3,Premium,E,VVS1,59,4.28,4.33,2.64
9525,1.13,Premium,G,IF,59,6.71,6.78,4.13
1114,0.33,Ideal,G,VVS1,55,4.45,4.42,2.74
828,0.32,Ideal,F,VS2,55,4.43,4.4,2.72
7927,1.17,Ideal,F,VS2,55,6.74,6.81,4.19
4529,1.05,Good,I,VS2,58,6.42,6.47,4.07
714,0.34,Very Good,E,SI1,55,4.46,4.44,2.82
459,0.34,Ideal,I,SI1,57,4.5,4.54,2.72
6465,1,Ideal,G,VS1,54,6.42,6.37,4.01
5747,1.01,Very Good,G,VS2,61,6.32,6.35,3.97
18308,2.51,Fair,H,SI2,57,8.44,8.5,5.48
2485,0.78,Ideal,G,SI2,54,5.93,5.97,3.67
5090,1.04,Premium,H,SI1,58,6.6,6.54,4.01
6043,1,Ideal,E,VS2,55,6.42,6.38,3.97
2177,0.7,Ideal,G,SI2,57,5.62,5.6,3.52
17955,2.39,Ideal,I,VS2,55,8.58,8.56,5.33
4383,0.74,Ideal,F,IF,55,5.79,5.84,3.6
5724,1.2,Very Good,I,VS2,59,6.73,6.77,4.22
4321,1,Very Good,E,SI2,57,6.24,6.27,4
6108,1.01,Premium,D,VS2,56,6.48,6.43,3.82
1827,0.53,Very Good,G,VVS2,54,5.19,5.23,3.23
17986,2.08,Ideal,J,IF,55,8.32,8.25,5.05
675,0.3,Premium,G,VS2,60,4.34,4.3,2.62
651,0.39,Ideal,D,SI2,56,4.69,4.72,2.9
3861,1.14,Premium,J,SI2,59,6.8,6.74,4.09
735,0.3,Ideal,G,VVS1,54.9,4.3,4.33,2.68
2839,0.71,Premium,F,VS1,59,5.7,5.62,3.55
842,0.32,Very Good,G,VVS1,58,4.36,4.39,2.71
9548,1.5,Very Good,E,SI2,59,7.26,7.33,4.53
1637,0.96,Fair,H,I1,63,6.22,6.06,3.78
7603,1.2,Good,G,VS2,58,6.66,6.74,4.24
827,0.41,Very Good,I,VVS2,58,4.71,4.74,2.97
777,0.37,Ideal,E,SI1,56,4.65,4.6,2.84
5712,1.2,Premium,I,SI1,59,6.85,6.79,4.27
1119,0.5,Ideal,H,SI2,56,5.14,5.09,3.19
1097,0.4,Ideal,G,VVS1,57,4.78,4.81,2.91
1624,0.5,Premium,G,VS1,60,5.06,5.08,3.17
545,0.26,Ideal,H,IF,55,4.09,4.13,2.55
1814,0.7,Premium,G,SI2,60,5.84,5.82,3.44
9036,2.16,Ideal,F,I1,57,8.4,8.32,5.1
4193,1.04,Very Good,I,SI1,54,6.49,6.42,4.08
